name,mass,distance
HD 152581 b,594.02427,165.76
HD 152843 b,11.56,107.898
HD 152843 c,27.5,107.898
HD 15337 b,7.51,44.8155
HD 15337 c,8.11,44.8155
HD 153557 b,20.05856,17.9412
HD 153557 c,17.30766,17.9412
HD 153557 d,8680.48112,17.9412
HD 153950 b,937.5985,48.4549
HD 154088 b,6.6,18.2692
HD 154345 b,260.6206,18.284
HD 154672 b,1706.7471,63.0484
HD 154857 b,778.6835,63.4482
HD 154857 c,819.97,63.4482
HD 155193 b,238.37131,57.7995
HD 155233 b,826.358,74.2309
HD 155358 b,314.6517,43.6197
HD 155358 c,261,43.6197
HD 155918 b,7.50192,27.561
HD 155918 c,1849.85628,27.561
HD 156098 b,17.14419,48.249
HD 156098 c,1661.50392,48.249
HD 156279 b,2995.22334,36.1945
HD 156279 c,3207.01405,36.1945
HD 156411 b,235.18,56.8655
HD 156668 b,4.15,24.3323
HD 156668 c,31.4968,24.3323
HD 156846 b,3391.2461,47.7332
HD 158038 b,486.2799,94.8625
HD 158259 b,2.22,27.0498
HD 158259 c,5.6,27.0498
HD 158259 d,5.41,27.0498
HD 158259 e,6.08,27.0498
HD 158259 f,6.14,27.0498
HD 158996 b,4449.62,283.659
HD 159243 b,359.13,73.3055
HD 159243 c,603.9,73.3055
HD 159868 b,704.94694,55.8503
HD 159868 c,244.09344,55.8503
HD 1605 b,296.85322,88.8047
HD 1605 c,1150.5446,88.8047
HD 160691 b,1366.66215,15.5981
HD 160691 c,1398.44499,15.5981
HD 160691 d,10.17,15.5981
HD 160691 e,2224.79885,15.5981
HD 161178 b,181.16219,107.188
HD 16141 b,82.6358,37.7861
HD 16175 b,1620.933,59.859
HD 162020 b,3127.4472,30.8248
HD 163607 b,249.05159,67.7855
HD 163607 c,699.54383,67.7855
HD 16417 b,22.1,25.3936
HD 164509 b,140.79869,53.1119
HD 164595 b,16.14,28.254
HD 164604 b,635,39.3633
HD 164922 b,116,22.0016
HD 164922 c,13,22.0016
HD 164922 d,4,22.0016
HD 164922 e,10.52012,22.0016
HD 165155 b,918.5287,63.3574
HD 1666 b,2040,117.908
HD 166724 b,1121.89,45.1342
HD 167042 b,540.29,49.6633
HD 167768 b,270.15415,107.214
HD 168009 b,9.53485,23.3032
HD 168443 b,2422.83767,39.6245
HD 168443 c,5733.43678,39.6245
HD 168746 b,85.8141,41.5681
HD 168863 b,2146.32971,39.8979
HD 1690 b,2793.7257,752.615
HD 16905 b,2885.45006,39.7401
HD 169142 b,953.48522,113.6
HD 169830 b,803.57766,37.6048
HD 169830 c,2259.86363,37.6048
HD 170469 b,209.7678,60.178
HD 17092 b,3219.6179,228.422
HD 171028 b,832.7146,111.659
HD 171238 b,2796.88998,44.8113
HD 17156 b,1115.5833,78.0863
HD 173416 b,858.1,132.184
HD 174205 b,1334.87931,234.027
HD 175167 b,2161.63039,71.0863
HD 175541 b,190.06234,129.603
HD 175607 b,8.98,40.3303
HD 17674 b,276.5121,44.4264
HD 176986 b,5.74,27.7843
HD 176986 c,9.18,27.7843
HD 177565 b,15.1,16.9179
HD 177830 b,537.1327,62.7674
HD 177830 c,47.6725,62.7674
HD 178911 B b,2552.1749,40.9727
HD 179079 b,25.74423,69.7116
HD 179949 b,291.12,27.4573
HD 180053 b,697.31902,137.043
HD 18015 b,1010.6994,123.801
HD 180314 b,6397.9179,122.362
HD 180617 b,12.214,5.91059
HD 180902 b,535.54355,104.577
HD 181234 b,2981.01296,47.7458
HD 181342 b,807.2882,120.391
HD 18143 b,10.50968,22.5243
HD 18143 c,3115.44391,22.5243
HD 181433 b,6.3566,26.8762
HD 181433 c,203,26.8762
HD 181433 d,171,26.8762
HD 181720 b,127.132,60.2046
HD 183263 b,1102.03602,54.1955
HD 183263 c,2959.02909,54.1955
HD 183579 b,19.7,57.2651
HD 184010 b,98.52681,60.7993
HD 184010 c,95.34852,60.7993
HD 184010 d,143.02278,60.7993
HD 185269 b,321.0083,51.9917
HD 18599 b,24.1,38.5653
HD 187085 b,265.70588,45.8993
HD 187123 b,166.218,45.9548
HD 187123 c,632.46,45.9548
HD 18742 b,1080.622,162.685
HD 188015 b,476.72,50.6706
HD 188641 b,9262.62856,64.3399
HD 189567 b,8.5,17.9055
HD 189567 c,7,17.9055
HD 189733 b,359.1479,19.7638
HD 190007 b,16.46,12.7141
HD 190228 b,1726.82637,62.7146
HD 190360 b,572.09113,16.0069
HD 190360 c,19.069,16.0069
HD 190647 b,630.89255,54.4738
HD 190984 b,985.2,148.187
HD 191806 b,2968.87379,65.6668
HD 191939 b,10,53.6089
HD 191939 c,8,53.6089
HD 191939 d,2.8,53.6089
HD 191939 e,112.2,53.6089
HD 191939 f,660,53.6089
HD 191939 g,13.5,53.6089
